quest_id,level,target_type,quest_type,limit_receive,number_require,victim,stage_unlock,id,type,number,item_type,have_goto
0,0,AnyHeroUpgrade,Upgrade,1,1,5,0,-1,-1,-1,-1,1
,1,AnyHeroUpgrade,Upgrade,1,1,10,0,-1,-1,-1,-1,
,2,AnyHeroUpgrade,Upgrade,1,1,17,0,-1,-1,-1,-1,
,3,AnyHeroUpgrade,Upgrade,1,1,20,0,-1,-1,-1,-1,
,4,AnyHeroUpgrade,Upgrade,1,1,21,0,-1,-1,-1,-1,
1,0,AnyHeroUpgrade,Upgrade,1,2,20,0,-1,-1,-1,-1,1
,1,AnyHeroUpgrade,Upgrade,1,2,21,0,-1,-1,-1,-1,
2,0,AnyMapNormal,Complete,1,8,-1,0,-1,-1,-1,-1,1
3,0,Complete3StarNormal,Complete,1,5,-1,0,-1,-1,-1,-1,1
,1,Complete3StarNormal,Complete,1,10,-1,0,-1,-1,-1,-1,
,2,Complete3StarNormal,Complete,1,15,-1,0,-1,-1,-1,-1,
,3,Complete3StarNormal,Complete,1,20,-1,0,-1,-1,-1,-1,
,4,Complete3StarNormal,Complete,1,20,-1,0,-1,-1,-1,-1,
4,0,Complete3StarNightmare,Complete,1,8,-1,0,-1,-1,-1,-1,1
5,0,AnySpellLevel,Upgrade,1,1,4,10,-1,-1,-1,-1,1
,1,AnySpellLevel,Upgrade,1,1,5,10,-1,-1,-1,-1,
6,0,AnySpellLevel,Upgrade,1,2,4,10,-1,-1,-1,-1,1
7,0,AnySpellLevel,Upgrade,1,3,4,10,-1,-1,-1,-1,1
9,0,SummonSpell,Summon,1,2,-1,10,-1,-1,-1,-1,1
10,0,SummonRunePremium,Summon,1,2,-1,7,-1,-1,-1,-1,1
,1,SummonRunePremium,Summon,1,5,-1,7,-1,-1,-1,-1,
11,0,SummonRune,Summon,1,1,-1,7,-1,-1,-1,-1,1
,1,SummonRune,Summon,1,20,-1,7,-1,-1,-1,-1,
12,0,UseAnySpell,Use,1,50,-1,10,-1,-1,-1,-1,1
,1,UseAnySpell,Use,1,75,-1,10,-1,-1,-1,-1,
,2,UseAnySpell,Use,1,100,-1,10,-1,-1,-1,-1,
14,0,AnyRune,Upgrade,1,5,-1,7,-1,-1,-1,-1,1
,1,AnyRune,Upgrade,1,10,-1,7,-1,-1,-1,-1,
15,0,AnyRune,Use,1,1,5,7,-1,-1,-1,-1,1
,1,AnyRune,Use,1,1,6,7,-1,-1,-1,-1,
,2,AnyRune,Use,1,1,12,7,-1,-1,-1,-1,
16,0,AnyTower,Upgrade,1,3,-1,0,-1,-1,-1,-1,1
,1,AnyTower,Upgrade,1,9,-1,0,-1,-1,-1,-1,
,2,AnyTower,Upgrade,1,12,-1,0,-1,-1,-1,-1,
17,0,WatchVideo,Count,1,1,-1,0,-1,-1,-1,-1,1
,1,WatchVideo,Count,1,2,-1,0,-1,-1,-1,-1,
,2,WatchVideo,Count,1,5,-1,0,-1,-1,-1,-1,
,3,WatchVideo,Count,1,10,-1,0,-1,-1,-1,-1,
18,0,IAP,Count,1,1,-1,0,-1,-1,-1,-1,1
19,0,KillAnyEnemy,Kill,1,2300,-1,0,-1,-1,-1,-1,1
,1,KillAnyEnemy,Kill,1,5000,-1,0,-1,-1,-1,-1,
,2,KillAnyEnemy,Kill,1,9500,-1,0,-1,-1,-1,-1,
,3,KillAnyEnemy,Kill,1,10000,-1,0,-1,-1,-1,-1,
20,0,AllDailyQuest,Complete,1,1,-1,0,-1,-1,-1,-1,1
,1,AllDailyQuest,Complete,1,2,-1,0,-1,-1,-1,-1,
,2,AllDailyQuest,Complete,1,3,-1,0,-1,-1,-1,-1,
,3,AllDailyQuest,Complete,1,4,-1,0,-1,-1,-1,-1,
,4,AllDailyQuest,Complete,1,5,-1,0,-1,-1,-1,-1,
13,0,AnyMapNightmare,Complete,1,3,-1,0,-1,-1,-1,-1,1
,1,AnyMapNightmare,Complete,1,5,-1,0,-1,-1,-1,-1,
,2,AnyMapNightmare,Complete,1,10,-1,0,-1,-1,-1,-1,
