quest_id,level,target_type,quest_type,limit_receive,number_require,victim,stage_unlock,id,type,number,item_type,have_goto
0,0,Login,Online,1,1,-1,0,1,0,200,-1,1
,,,,,,,,15,0,10,-1,
1,0,Login,Online,1,2,-1,0,1,0,300,-1,1
,,,,,,,,15,0,20,-1,
2,0,Login,Online,1,3,-1,0,1,0,500,-1,1
,,,,,,,,0,0,100,-1,
3,0,Login,Online,1,4,-1,0,0,0,100,-1,1
,,,,,,,,0,2,30,2,
,,,,,,,,15,0,20,-1,
4,0,Login,Online,1,5,-1,0,5,0,1,-1,1
,,,,,,,,1,0,1000,-1,
,,,,,,,,15,0,30,-1,
5,0,Login,Online,1,6,-1,0,11,0,1,-1,1
,,,,,,,,1,0,1000,-1,
,,,,,,,,0,0,100,-1,
6,0,Login,Online,1,7,-1,0,12,0,1,-1,1
,,,,,,,,15,0,45,-1,
,,,,,,,,0,0,100,-1,
