key~value
sale_txt~Ausverkauf
hot_deal_txt~Hot
hot_deal_2_txt~Gutes Geschäft
best_deal_txt~Am besten
profit_txt~Profit {0} %
diamond_pack_txt~Edelsteinpakete
crystal_pack_txt~Kristallpakete
own_txt~Gehört: {0}
nametab_poweritem~Powwer-up
starter_pack_name~Anfänger Packet
starter_pack_des~Rekrutiere <color=#ffef76>{0}</color> und hole dir sofort fantastische Belohnungen ab!
gem_name_0~Handvoll Edelsteine
gem_name_1~Beutel Edelsteine
gem_name_2~Fass Ederlsteine
gem_name_3~Truhe Edelsteine
gem_name_4~Tresor Edelsteine
gem_name_5~Berg Edelsteine
crystal_name_0~Handvoll Kristalle
crystal_name_1~Beutel Kristalle
crystal_name_2~Fass Kristalle
crystal_name_3~Truhe Kristalle
crystal_name_4~Tresor Kristalle
crystal_name_5~Berg Kristalle
profit_title~Profit
hero_4_bundle~Marco-Paket
hero_4_bundle_txt~Rekrutiere jetzt <color=#ffef76>Marco und Pomp</color>, um die Orks auszulöschen!
hero_resource_title~Aufleveln
hero_resource_slogan~Rêcive sofort <color=#ff9cf2>{0}</color> Kristalle und steigere deinen Helden auf Level <color=#ff9cf2>18</color>!
rune_flash_sale_title~Schnellverkauf Rune
spell_flash_sale_title~Schnellverkauf Zauber
spell_pack_name_txt~Zauberpaket
random_spell_pack_name_txt~{0} Zauberpaket
