key~value
sale_txt~Venta
hot_deal_txt~Caliente
hot_deal_2_txt~Oferta especial
best_deal_txt~Mejor
profit_txt~Beneficio del {0}%
diamond_pack_txt~Paquetes de Gemas
crystal_pack_txt~Paquetes de Cristales
own_txt~En propiedad: {0}
nametab_poweritem~Potenciadores
starter_pack_name~Paquete de inicio
starter_pack_des~¡Recluta a <color=#ffef76>{0}</color> y reclama de inmediato las fantásticas recompensas!
gem_name_0~Puñado de gemas
gem_name_1~Bolsa de gemas
gem_name_2~Barril de gemas
gem_name_3~Cofre de gemas
gem_name_4~Bóveda de gemas
gem_name_5~Montaña de gemas
crystal_name_0~Puñado de cristales
crystal_name_1~Bolsa de cristales
crystal_name_2~Barril de cristales
crystal_name_3~Cofre de cristales
crystal_name_4~Bóveda de cristales
crystal_name_5~Montaña de cristales
profit_title~Beneficio
hero_4_bundle~Paquete Marco
hero_4_bundle_txt~¡Recluta a <color=# ffef76>Marco y Pomp</color> ahora para acabar con los orcos!
hero_resource_title~Elevar a mismo nivel
hero_resource_slogan~¡Reclama <color=#ff9cf2>{0}</color> Cristales de inmediato y aumenta a tu héroe al nivel <color=#ff9cf2>18</color>!
rune_flash_sale_title~Runa de Venta Rápida
spell_flash_sale_title~Hechizo de Venta Rápida
spell_pack_name_txt~Paquete de Hechizo
random_spell_pack_name_txt~Paquete de hechizos {0}
