key~value
sale_txt~세일
hot_deal_txt~핫
hot_deal_2_txt~핫딜
best_deal_txt~베스트
profit_txt~{0}% 이득
diamond_pack_txt~젬 패키지
crystal_pack_txt~크리스털 패키지
own_txt~소유함: {0}
nametab_poweritem~파워업
starter_pack_name~초심자 팩
starter_pack_des~<color=#ffef76>{0}</color>를 모집하고 즉시 환상적인 보상을 받으세요!
gem_name_0~보석 한 줌
gem_name_1~보석 주머니
gem_name_2~보석 통
gem_name_3~보석 상자
gem_name_4~보석 금고
gem_name_5~보석 동산
crystal_name_0~수정 한 줌
crystal_name_1~수정 주머니
crystal_name_2~수정 통
crystal_name_3~수정 상자
crystal_name_4~수정 금고
crystal_name_5~수정 동산
profit_title~이득
hero_4_bundle~마르코 번들
hero_4_bundle_txt~<color=#ffef76> 키츠코와 폼프</color>를 모집하여 오크를 전멸시키세요!
hero_resource_title~레벨 업
hero_resource_slogan~즉시 <color=#ff9cf2>{0}</color> 수정을 획득하고 영웅을 <color=#ff9cf2>18</color> 레벨로 높이세요!
rune_flash_sale_title~플래시 판매 룬
spell_flash_sale_title~플래시 판매 주문
spell_pack_name_txt~주문 패키지
random_spell_pack_name_txt~{0}주문 패키지
