key~value
difficult_normal~일반
difficult_nightmare~나이트메어
difficult_mode~어려움
stamina_cost~비용
powerup_items~주문
stage_name_1_1~남부 오크 무리
stage_name_1_2~크레센트 아일랜드 전투
stage_name_1_3~롱비치 착륙
stage_name_1_4~람르 강 방어
stage_name_1_5~황무지 파괴
stage_name_1_6~부대 II 가 함락되었습니다
stage_name_1_7~베즈노 필드 전투
stage_name_1_8~알자스로 가는 길
stage_name_1_9~전방에 있는 적
stage_name_1_10~알자스의 수호자
stage_name_1_11~제2의 물결
stage_name_1_12~도시를 지키세요
stage_name_1_13~오랜 친구
stage_name_1_14~동맹
stage_name_1_15~이그드라실 공방전
stage_name_1_16~카운터 어택
stage_name_1_17~마지막 물결
stage_name_1_18~늪에 갇힘
stage_name_1_19~추격
stage_name_1_20~이즈골의 요새
stage_name_1_22~잊혀진 숲
