key~value
sale_txt~Aanbieding
hot_deal_txt~Populair
hot_deal_2_txt~Goede prijs
best_deal_txt~Beste
profit_txt~Winst{0}%
diamond_pack_txt~Pakket edelstenen
crystal_pack_txt~Pakket kristallen
own_txt~Eigendom: {0}
nametab_poweritem~POWER-UPS
starter_pack_name~Starterspakket
starter_pack_des~Krijg <color=#ffef76>{0}</color> en claim meteen fantastische beloningen!
gem_name_0~Handjevol Edelstenen
gem_name_1~Zak Edelstenen
gem_name_2~Vat Edelstenen
gem_name_3~Kist Edelstenen
gem_name_4~Kluis Edelstenen
gem_name_5~Berg Edelstenen
crystal_name_0~Handjevol Kristal
crystal_name_1~Zak Kristal
crystal_name_2~Vat Kristal
crystal_name_3~Kist Kristal
crystal_name_4~Kluis Kristal
crystal_name_5~Berg Kristal
profit_title~Winst
hero_4_bundle~Marco Bundel
hero_4_bundle_txt~Rekruteer nu <color=#ffef76>Marco en Pomp</color> om de orks uit te roeien!
hero_resource_title~Niveau omhoog
hero_resource_slogan~Claim onmiddellijk <color=#ff9cf2>{0}</color>-kristallen en boost je held naar level <color=#ff9cf2>18</color>!
rune_flash_sale_title~Snelle Verkoop Rune
spell_flash_sale_title~Snelle Verkoop Spell
spell_pack_name_txt~Pakket Spell
random_spell_pack_name_txt~{0} Spell-pakket
