key~value
sale_txt~Zniżka
hot_deal_txt~Gorąco
hot_deal_2_txt~Gorąca oferta
best_deal_txt~Optymalny
profit_txt~Zysk {0}%
diamond_pack_txt~Pakiety klejnotów
crystal_pack_txt~Pakiety kryształów
own_txt~Posiadane: {0}
nametab_poweritem~POWER-UPY
starter_pack_name~Pakiet Startowy
starter_pack_des~Rekrutuj <color=#ffef76>{0}</color> i natychmiast odbierz fantastyczne nagrody!
gem_name_0~Garść Klejnotów
gem_name_1~Plecak Klejnotów
gem_name_2~Beczka Klejnotów
gem_name_3~Skrzynia Klejnotów
gem_name_4~Krypta Klejnotów
gem_name_5~Góra Klejnotów
crystal_name_0~Garść Kryształów
crystal_name_1~Plecak Kryształów
crystal_name_2~Beczka Kryształów
crystal_name_3~Skrzynia Kryształów
crystal_name_4~Krypta Kryształów
crystal_name_5~Góra Kryształów
profit_title~Zysk
hero_4_bundle~Pakiet Marco
hero_4_bundle_txt~Zwerbuj teraz <color=#ffef76>Marco i Pomp</color>, aby zgładzić orków!
hero_resource_title~Promować
hero_resource_slogan~Natychmiast zdobądź <color=#ff9cf2>{0}</color> Kryształy i awansuj swojego bohatera do poziomu <color=#ff9cf2>18</color>!
rune_flash_sale_title~Runa Szybkiej Sprzedaży
spell_flash_sale_title~Zaklęcie Szybkiej Sprzedaży
spell_pack_name_txt~Pakiet Zaklęcie
random_spell_pack_name_txt~{0} pakiet zaklęć
