key~value
sale_txt~Venda
hot_deal_txt~Quente
hot_deal_2_txt~Super Oferta
best_deal_txt~Melhor
profit_txt~Lucro {0}%
diamond_pack_txt~Pacotes de Gema
crystal_pack_txt~Pacotes de Cristal
own_txt~Possuído: {0}
nametab_poweritem~Item de suporte
starter_pack_name~Pacote de Iniciante
starter_pack_des~Recrute <color=#ffef76>{0}</color> e resgate uma recompensa fantástica imediatamente!
gem_name_0~Punhado de Gemas
gem_name_1~Saco de Gemas
gem_name_2~Barril de Gemas
gem_name_3~Baú de Gemas
gem_name_4~Depósito de Gemas
gem_name_5~Montanha de Gemas
crystal_name_0~Punhado de Cristais
crystal_name_1~Saco de Cristais
crystal_name_2~Barril de Cristais
crystal_name_3~Baú de Cristais
crystal_name_4~Depósito de Cristais
crystal_name_5~Montanha de Cristais
profit_title~Lucro
hero_4_bundle~Marco Pacote
hero_4_bundle_txt~Recrute <color=#ffef76>Marco e Pomp</color> agora para eliminar os Orcs!
hero_resource_title~Nível de reforço
hero_resource_slogan~Reivindique <color=#ff9cf2>{0}</color> Cristais imediatamente e leve seu Herói para o nível <color=#ff9cf2>18</color>!
rune_flash_sale_title~Runa Venda Rápida
spell_flash_sale_title~Feitiço Venda Rápida
spell_pack_name_txt~Pacote Feitiço
random_spell_pack_name_txt~Pacote Feitiços {0}
