key~value
sale_txt~Продажа
hot_deal_txt~Горячий
hot_deal_2_txt~Горячая Сделка
best_deal_txt~Лучший
profit_txt~Прибыль {0}%
diamond_pack_txt~Драгоценный камень упакован
crystal_pack_txt~Кристалл упакован
own_txt~Уже приобретено: {0}
nametab_poweritem~Усилители
starter_pack_name~Стартовый пакет
starter_pack_des~Нанимайте<color=#ffef76>{0}</color>и сразу же забирайте чудесные награды!
gem_name_0~Горсть самоцветов
gem_name_1~Сумка самоцветов
gem_name_2~Бочка самоцветов
gem_name_3~Сундук самоцветов
gem_name_4~Хранилище самоцветов
gem_name_5~Гора самоцветов
crystal_name_0~Горсть кристаллов
crystal_name_1~Сумка кристаллов
crystal_name_2~Бочка кристаллов
crystal_name_3~Сундук кристаллов
crystal_name_4~Хранилище кристаллов
crystal_name_5~Гора кристаллов
profit_title~Прибыль
hero_4_bundle~Марко Бандл
hero_4_bundle_txt~Нанимайте <color=# ffef76>Марко и Помпа</color> прямо сейчас, чтобы уничтожить орков!
hero_resource_title~Уровень повышен
hero_resource_slogan~Получите <color=#ff9cf2>{0}</color> кристаллы немедленно и повысьте уровень своего Героя до <color=#ff9cf2>18</color>!
rune_flash_sale_title~Руна быстрой продажи
spell_flash_sale_title~Заклинание быстрой продажи
spell_pack_name_txt~Набор Заклинание
random_spell_pack_name_txt~Пакет заклинаний {0}
