key~value
sale_txt~İndirim
hot_deal_txt~Popüler
hot_deal_2_txt~Sıcak Anlaşma
best_deal_txt~En Avantajlı
profit_txt~Kazanç %{0}
diamond_pack_txt~Mücevher paketleri
crystal_pack_txt~Kristal paketleri
own_txt~Sahip olunan: {0}
nametab_poweritem~GÜÇLENDİRMELER
starter_pack_name~Başlangıç Paketi
starter_pack_des~<color=#ffef76>{0}</color> görevlendir ve anında fantastik ödüller kazan!
gem_name_0~Bir Avuç Mücevher
gem_name_1~Mücevher Çantası
gem_name_2~Mücevher Varili
gem_name_3~Mücevher Sandığı
gem_name_4~Mücevher Kasası
gem_name_5~Mücevher Dağı
crystal_name_0~Bir Avuç Kristal
crystal_name_1~Kristal Çantası
crystal_name_2~Kristal Varili
crystal_name_3~Kristal Sandığı
crystal_name_4~Kristal Kasası
crystal_name_5~Kristal Dağı
profit_title~Kazanç
hero_4_bundle~Marco Paketi
hero_4_bundle_txt~Orkları yok etmek için hemen <color=#ffef76>Marco ve Pomp</color>'u topla!
hero_resource_title~Seviye atlamak
hero_resource_slogan~Hemen <color=#ff9cf2>{0}</color> Kristalleri talep edin ve Kahramanınızı <color=#ff9cf2>18</color> seviyeye yükseltin!
rune_flash_sale_title~Hızlı Satış Rune
spell_flash_sale_title~Hızlı Satış Büyü
spell_pack_name_txt~Büyü Taşı Paketi
random_spell_pack_name_txt~{0} Büyü Paketi
