key~value
difficult_normal~Normal
difficult_nightmare~Kabus
difficult_mode~Zor
stamina_cost~Tutar
powerup_items~Büyüler
stage_name_1_1~Güney Orkların İstilası
stage_name_1_2~Hilal Adası Savaşı
stage_name_1_3~Long Beach çıkartması
stage_name_1_4~Ramr Nehri Savunması
stage_name_1_5~Thereinsfort Harabeleri
stage_name_1_6~2. Lejyon düştü
stage_name_1_7~Bezno meydan muharebesi
stage_name_1_8~Alsace Yolu
stage_name_1_9~Düşman cephede
stage_name_1_10~Alsace'ın Koruyucusu
stage_name_1_11~İkinci dalga
stage_name_1_12~Şehri koru
stage_name_1_13~Eski dostlar
stage_name_1_14~İttifak
stage_name_1_15~Yggdrasil Kuşatması
stage_name_1_16~Karşı Taarruz
stage_name_1_17~Son dalga
stage_name_1_18~Bataklıkta saplandı
stage_name_1_19~Takipte
stage_name_1_20~Izgol kalesi
stage_name_1_22~Unutulmuş orman
