wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id
0,0,3001,1,0,0,0
0,1,3001,1,0,0.5,0
0,2,3001,1,0,0.3,0
0,0,3001,1,0,1.2,0
0,1,3001,1,0,1,0
0,2,3001,1,0,1.5,0
0,0,3001,2,2.1,2,0
0,1,3001,2,2,1.5,0
0,2,3001,2,2.3,0.8,0
0,5,3001,1,0,0.5,2
0,6,3001,1,0,0,2
0,7,3001,1,0,0.3,2
0,5,3001,1,0,1,2
0,6,3001,1,0,1.5,2
0,7,3001,1,0,1.2,2
0,5,3001,2,2.3,0.8,2
0,6,3001,2,2,2,2
0,7,3001,2,2.1,1.5,2
0,0,3004,1,0,1.8,0
0,1,3004,1,0,2.3,0
0,2,3004,1,0,2,0
0,0,3004,1,0,1.5,0
0,1,3004,1,0,0.8,0
0,2,3004,1,0,1,0
0,5,3004,1,0,2.3,2
0,6,3004,1,0,2,2
0,7,3004,1,0,1.8,2
0,5,3004,1,0,1,2
0,6,3004,1,0,1.5,2
0,7,3004,1,0,0.8,2
0,3,3008,1,0,6.3,1
0,4,3008,1,0,5.6,1
0,3,3008,1,0,8,1
1,0,3001,1,0,1.2,0
1,1,3001,2,2,0.3,0
1,2,3001,1,0,0.8,0
1,0,3001,1,0,0.9,0
1,1,3001,2,2.5,2.2,0
1,2,3001,1,0,1.5,0
1,0,3001,1,0,1.5,0
1,1,3001,1,0,0.5,0
1,2,3001,1,0,1.8,0
1,0,3001,2,2.2,2.3,0
1,1,3001,1,0,2,0
1,2,3001,1,0,1.9,0
1,5,3001,1,0,1.4,2
1,6,3001,2,2.5,1.5,2
1,7,3001,2,1.8,0,2
1,5,3001,1,0,2,2
1,6,3001,1,0,1.8,2
1,7,3001,1,0,2.1,2
1,5,3001,1,0,0.6,2
1,6,3001,1,0,1.9,2
1,7,3001,2,1.6,1.4,2
1,5,3001,1,0,0.6,2
1,6,3001,1,0,2.3,2
1,7,3001,1,0,1.8,2
1,0,3002,4,1.5,4.9,0
1,1,3002,4,1.5,1.5,0
1,2,3002,4,1.5,9,0
1,5,3002,4,1.5,10.4,2
1,6,3002,4,1.5,3,2
1,7,3002,4,1.5,2.3,2
1,3,3014,1,0,6,1
1,4,3014,1,0,8,1
1,3,3014,1,0,2.5,1
1,4,3014,1,0,1.6,1
1,3,3014,2,2.5,3.5,1
1,4,3008,1,0,4,1
1,3,3008,1,0,0.8,1
1,4,3014,1,0,0.3,1
1,3,3008,1,0,1.5,1
1,4,3014,1,0,0.8,1
1,3,3008,1,0,3.5,1
1,4,3014,1,0,2,1
1,3,3008,1,0,1.2,1
1,4,3014,1,0,1.5,1
1,3,3008,1,0,6.3,1
1,4,3008,1,0,4.5,1
1,3,3008,1,0,5,1
2,0,3004,6,2.6,0,0
2,1,3004,6,2.6,0,0
