world_id,map_id,star,type,id,number,item_type
0,0,-1,0,1,40,-1
,,,0,2,60,-1
,,1,0,1,40,-1
,,,0,2,100,-1
,,2,0,1,80,-1
,,3,0,0,120,-1
0,1,-1,0,1,40,-1
,,,0,2,60,-1
,,1,0,1,40,-1
,,,0,2,110,-1
,,2,0,1,80,-1
,,3,0,0,120,-1
0,2,-1,0,1,40,-1
,,,0,2,60,-1
,,1,0,1,40,-1
,,,0,2,120,-1
,,2,0,1,80,-1
,,3,0,0,120,-1
0,3,-1,0,1,40,-1
,,,0,2,60,-1
,,1,0,1,40,-1
,,,0,2,130,-1
,,2,0,1,80,-1
,,3,0,0,120,-1
0,4,-1,0,1,100,-1
,,,0,2,100,-1
,,1,0,1,100,-1
,,,0,2,50,-1
,,,0,3,5,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,350,-1
0,5,-1,0,1,60,-1
,,,0,2,80,-1
,,1,0,1,60,-1
,,,0,2,50,-1
,,2,0,1,180,-1
,,3,0,0,120,-1
,,,0,2,120,-1
0,6,-1,0,1,60,-1
,,,0,2,80,-1
,,1,0,1,60,-1
,,,0,2,50,-1
,,2,0,1,180,-1
,,3,0,0,120,-1
,,,0,2,150,-1
0,7,-1,0,1,60,-1
,,,0,2,80,-1
,,1,0,1,60,-1
,,,0,2,50,-1
,,2,0,1,180,-1
,,3,0,0,120,-1
,,,0,2,180,-1
0,8,-1,0,1,60,-1
,,,0,2,80,-1
,,1,0,1,60,-1
,,,0,2,50,-1
,,2,0,1,180,-1
,,3,0,0,120,-1
,,,0,2,220,-1
0,9,-1,0,1,200,-1
,,,0,2,200,-1
,,1,0,1,200,-1
,,,0,2,150,-1
,,,0,3,5,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,650,-1
0,10,-1,0,1,100,-1
,,,0,2,100,-1
,,1,0,1,100,-1
,,,0,2,80,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,220,-1
0,11,-1,0,1,100,-1
,,,0,2,100,-1
,,1,0,1,100,-1
,,,0,2,80,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,420,-1
0,12,-1,0,1,100,-1
,,,0,2,300,-1
,,1,0,1,100,-1
,,,0,2,200,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,1000,-1
0,13,-1,0,1,100,-1
,,,0,2,150,-1
,,1,0,1,100,-1
,,,0,2,100,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,550,-1
0,14,-1,0,1,200,-1
,,,0,2,500,-1
,,1,0,1,200,-1
,,,0,2,300,-1
,,,0,3,5,-1
,,2,0,1,500,-1
,,3,0,0,120,-1
,,,0,2,1700,-1
0,15,-1,0,1,200,-1
,,,0,2,200,-1
,,1,0,1,200,-1
,,,0,2,100,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,700,-1
0,16,-1,0,1,200,-1
,,,0,2,200,-1
,,1,0,1,200,-1
,,,0,2,100,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,1200,-1
0,17,-1,0,1,200,-1
,,,0,2,200,-1
,,1,0,1,200,-1
,,,0,2,100,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,1700,-1
0,18,-1,0,1,200,-1
,,,0,2,200,-1
,,1,0,1,200,-1
,,,0,2,100,-1
,,2,0,1,300,-1
,,3,0,0,120,-1
,,,0,2,2200,-1
0,19,-1,0,1,300,-1
,,,0,2,1000,-1
,,1,0,1,400,-1
,,,0,2,500,-1
,,,0,3,5,-1
,,2,0,1,600,-1
,,3,0,0,120,-1
,,,0,2,4500,-1
