wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id,
0,3,3004,3,3,2,1,
0,4,3004,3,3,0,1,
0,5,3004,3,3,1.6,1,
0,0,3010,1,0,5,0,
0,1,3010,1,0,4,0,
0,2,3010,1,0,4.5,0,
0,2,3010,1,0,2.8,0,
0,0,3010,1,0,0.5,0,
0,1,3010,1,0,1.3,0,
1,4,3006,1,0,0,1,
1,3,3001,1,0,2,1,
1,4,3001,1,0,2,1,
1,5,3001,1,0,2,1,
1,3,3003,1,0,2,1,
1,4,3003,1,0,2,1,
1,5,3003,1,0,2,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,3,3001,1,0,1.5,1,
1,4,3001,1,0,1.5,1,
1,5,3001,1,0,1.5,1,
1,3,3003,1,0,1.5,1,
1,4,3003,1,0,1.5,1,
1,5,3003,1,0,1.5,1,
1,1,3006,1,0,25,0,
1,0,3002,4,2.2,3,0,
1,1,3002,4,2.2,2,0,
1,2,3002,4,2.2,3,0,
2,1,3009,1,0,0,0,
2,3,3005,2,3,0.8,1,
2,4,3005,1,0,0,1,
2,5,3005,2,2.8,4.3,1,
2,5,3005,1,0,6,1,
2,4,3005,2,2.9,9.3,1,
2,5,3005,1,0,13,1,
2,3,3005,2,2.1,15.6,1,
2,4,3005,1,0,20.5,1,
2,0,3001,6,2,2,0,
2,1,3001,6,3,1,0,
2,2,3001,6,2.6,2,0,
2,3,3004,10,3.6,12,1,
2,4,3004,10,4.5,8,1,
2,5,3004,10,4,10.6,1,
2,0,3013,4,2.3,15.8,0,
2,1,3013,4,2.6,16.2,0,
2,2,3013,4,2.5,19.4,0,
2,0,3013,4,3,5.6,0,
2,1,3013,4,2,4.3,0,
2,2,3013,4,3.3,3,0,
3,0,3005,2,2.3,1.2,0,
3,0,3005,3,2.8,0,0,
3,1,3005,3,2.5,0.8,0,
3,2,3005,3,2,1,0,
3,3,3005,3,3,0,1,
3,4,3005,3,2.6,0.4,1,
3,5,3005,3,2.4,0.6,1,
3,0,3002,4,2,1.8,0,
3,1,3002,4,1.8,2,0,
3,2,3002,4,1.6,1.8,0,
3,3,3002,4,1.3,2,1,
3,4,3002,4,2.2,1.5,1,
3,5,3002,4,1.7,1.9,1,
3,0,3014,3,2,4,0,
3,1,3014,3,3,4.6,0,
3,2,3014,3,2.5,3.8,0,
3,3,3014,1,0,4.5,1,
3,4,3014,1,0,5,1,
3,5,3014,1,0,4.8,1,
3,3,3014,1,0,2,1,
3,4,3014,1,0,1.3,1,
3,5,3014,1,0,2.8,1,
3,3,3014,1,0,1.9,1,
4,0,3001,10,1.5,0,0,
4,1,3001,10,1.5,0,0,
4,2,3001,10,1.5,0,0,
4,3,3005,3,3,6,1,
4,4,3005,3,3,6,1,
4,5,3005,3,3,6,1,
4,3,3005,4,2,2.5,1,
4,4,3005,4,2,2.5,1,
4,5,3005,4,2,2.5,1,
4,0,3007,1,0,1,0,
4,1,3007,1,0,1.5,0,
4,2,3007,1,0,1.3,0,
4,3,3007,1,0,1,1,
4,4,3007,1,0,1.8,1,
4,5,3007,1,0,1.6,1,
4,0,3004,5,2,2,0,
4,1,3004,5,2,1.5,0,
4,2,3004,5,2,2,0,
4,3,3004,5,2,1.8,1,
4,4,3004,5,2,2.3,1,
4,5,3004,5,2,1.6,1,
5,0,3004,1,0,0,0,
5,1,3004,1,0,0,0,
5,2,3004,1,0,0,0,
5,0,3002,1,0,1.5,0,
5,1,3002,1,0,1.5,0,
5,2,3002,1,0,1.5,0,
5,0,3004,1,0,2,0,
5,1,3004,1,0,2,0,
5,2,3004,1,0,2,0,
5,0,3002,1,0,1.5,0,
5,1,3002,1,0,1.5,0,
5,2,3002,1,0,1.5,0,
5,0,3004,1,0,1.5,0,
5,1,3004,1,0,1.5,0,
5,2,3004,1,0,1.5,0,
5,0,3002,1,0,1.5,0,
5,1,3002,1,0,1.5,0,
5,2,3002,1,0,1.5,0,
5,0,3004,1,0,1,0,
5,1,3004,1,0,1,0,
5,2,3004,1,0,1,0,
5,0,3002,1,0,1,0,
5,1,3002,1,0,1,0,
5,2,3002,1,0,1,0,
5,0,3004,1,0,0.8,0,
5,1,3004,1,0,0.8,0,
5,2,3004,1,0,0.8,0,
5,0,3002,1,0,0.5,0,
5,1,3002,1,0,0.5,0,
5,2,3002,1,0,0.5,0,
5,3,3004,1,0,5,1,
5,4,3004,1,0,5,1,
5,5,3004,1,0,5,1,
5,3,3002,1,0,1.5,1,
5,4,3002,1,0,1.5,1,
5,5,3002,1,0,1.5,1,
5,3,3004,1,0,2,1,
5,4,3004,1,0,2,1,
5,5,3004,1,0,2,1,
5,3,3002,1,0,1.5,1,
5,4,3002,1,0,1.5,1,
5,5,3002,1,0,1.5,1,
5,3,3004,1,0,1.5,1,
5,4,3004,1,0,1.5,1,
5,5,3004,1,0,1.5,1,
5,3,3002,1,0,1,1,
5,4,3002,1,0,1,1,
5,5,3002,1,0,1,1,
5,3,3004,1,0,1,1,
5,4,3004,1,0,1,1,
5,5,3004,1,0,1,1,
5,3,3002,1,0,1,1,
5,4,3002,1,0,1,1,
5,5,3002,1,0,1,1,
5,3,3004,1,0,0.8,1,
5,4,3004,1,0,0.8,1,
5,5,3004,1,0,0.8,1,
5,3,3002,1,0,0.5,1,
5,4,3002,1,0,0.5,1,
5,5,3002,1,0,0.5,1,
5,3,3007,1,0,0.5,1,
5,4,3007,1,0,0.5,1,
5,5,3007,1,0,0.5,1,
5,0,3005,1,0,6,0,
5,1,3005,1,0,6,0,
5,2,3005,1,0,6,0,
5,0,3003,1,0,1,0,
5,1,3003,1,0,1,0,
5,2,3003,1,0,1,0,
5,0,3005,1,0,2.5,0,
5,1,3005,1,0,2.5,0,
5,2,3005,1,0,2.5,0,
5,0,3003,1,0,1,0,
5,1,3003,1,0,1,0,
5,2,3003,1,0,1,0,
5,0,3005,1,0,2,0,
5,1,3005,1,0,2,0,
5,2,3005,1,0,2,0,
5,0,3003,1,0,1,0,
5,1,3003,1,0,1,0,
5,2,3003,1,0,1,0,
5,0,3005,1,0,2,0,
