wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id
0,0,3001,2,2.3,0.5,0
0,1,3001,2,2.5,1,0
0,2,3001,2,2.8,0,0
0,0,3001,3,2,2,0
0,1,3001,3,1.5,1,0
0,2,3001,3,1.8,3,0
0,4,3002,3,1.8,3,1
0,5,3002,3,1.5,4,1
0,3,3002,4,2,8,1
1,2,3004,2,3,4.3,0
1,0,3004,2,3.5,0.5,0
1,1,3004,1,0,2.6,0
1,3,3004,2,4,3.4,1
1,4,3004,1,0,1.8,1
1,5,3004,2,4.5,6,1
2,0,3004,2,1.9,0,0
2,1,3004,1,0,0,0
2,2,3004,2,1.9,0,0
2,1,3003,3,1.2,0.4,0
2,2,3003,1,0,0,0
2,0,3003,1,0,0,0
2,0,3002,2,1,1.2,0
2,1,3002,1,0,0,0
2,2,3002,2,1.2,0,0
2,3,3001,4,1.4,1,1
2,4,3001,3,1.2,0,1
2,5,3001,4,1.5,0,1
2,4,3003,5,1.3,1.2,1
2,3,3003,5,1.4,0,1
2,5,3003,5,1.3,0,1
2,3,3002,1,0,1.5,1
2,5,3002,2,1,0,1
2,4,3002,2,1,0,1
2,0,3001,4,1.3,3,0
2,1,3001,3,1.1,3,0
2,2,3001,4,1.2,3,0
2,1,3004,2,3,1.4,0
2,3,3001,2,1,2,1
2,4,3001,4,1.2,2,1
2,5,3001,2,1,2,1
2,3,3004,1,0,1.5,1
2,5,3004,1,0,1.5,1
3,0,3001,2,2,1.5,0
3,1,3001,2,2.3,0,0
3,2,3001,2,1.8,2.8,0
3,3,3001,2,2.5,0.6,1
3,4,3001,2,2,4,1
3,5,3001,2,1.5,3.2,1
3,0,3001,1,0,4,0
3,1,3004,1,0,6,0
3,2,3001,1,0,3,0
3,0,3002,1,0,1.5,0
3,1,3001,1,0,2.3,0
3,2,3004,1,0,3,0
3,0,3001,1,0,1,0
3,1,3002,1,0,2,0
3,2,3004,1,0,2.5,0
3,0,3001,1,0,2.3,0
3,1,3002,1,0,1.5,0
3,2,3002,1,0,2,0
3,0,3004,1,0,2.5,0
3,1,3002,1,0,2,0
3,2,3001,1,0,1.5,0
3,0,3002,1,0,1,0
3,1,3004,1,0,0.5,0
3,2,3004,1,0,0,0
3,1,3004,1,0,2,0
3,3,3001,1,0,6,0
3,4,3004,1,0,8,0
3,5,3001,1,0,4,0
3,3,3002,1,0,2,0
3,4,3001,1,0,3,0
3,5,3004,1,0,3,0
3,3,3001,1,0,1.5,0
3,4,3002,1,0,2,0
3,5,3004,1,0,2.5,0
3,3,3001,1,0,2.3,0
3,4,3002,1,0,1.5,0
3,5,3002,1,0,2,0
3,3,3004,1,0,2.5,0
3,4,3002,1,0,2,0
3,5,3001,1,0,1.5,0
3,3,3002,1,0,1,0
3,4,3004,1,0,0.5,0
3,5,3004,1,0,0,0
3,3,3004,1,0,3,0
3,5,3004,1,0,1.5,0
4,0,3001,1,0,0,0
4,1,3001,1,0,2,0
4,2,3001,1,0,1.2,0
4,3,3001,1,0,0.8,1
4,4,3001,1,0,1.5,1
4,5,3001,1,0,2.3,1
4,0,3001,3,2,2,0
4,1,3001,3,1,0.3,0
4,2,3001,4,2,0.5,0
4,3,3001,3,1.5,1,1
4,4,3001,4,1.8,0.4,1
4,5,3001,3,1.6,1,1
4,0,3004,3,2.5,0,0
4,2,3004,3,3,0,0
4,1,3003,5,1.5,0,0
4,0,3002,5,2,1,0
4,2,3002,5,1.6,1.2,0
4,3,3004,2,3,0,1
4,4,3004,1,0,0,1
4,5,3004,2,2.8,0,1
4,3,3003,5,1.2,1.3,1
4,4,3003,5,1.4,1.2,1
4,5,3003,5,1.2,1.6,1
4,3,3002,2,1,1.2,1
4,5,3002,3,1.8,2,1
4,0,3004,1,0,0,0
4,2,3004,1,0,0.8,0
4,1,3004,1,0,0.5,0
4,3,3004,1,0,1,1
4,5,3004,1,0,0.7,1
