stage_id,gold_wave_0,gold_wave_1,gold_wave_2,gold_wave_3,gold_wave_4,gold_wave_5,gold_wave_6,gold_wave_7,gold_wave_8,gold_wave_9,gold_wave_10,gold_wave_11,gold_wave_12,gold_wave_13,gold_wave_14,gold_wave_15,gold_wave_16
0,100,150,250,180,250,300,0,0,0,0,0,0,0,0,0,0,0
1,150,200,300,300,200,350,400,0,0,0,0,0,0,0,0,0,0
2,100,230,350,200,150,250,300,400,0,0,0,0,0,0,0,0,0
3,150,200,300,300,300,200,200,300,400,0,0,0,0,0,0,0,0
4,250,200,200,300,400,300,300,400,400,400,0,0,0,0,0,0,0
5,200,300,300,200,300,200,400,400,0,0,0,0,0,0,0,0,0
6,200,300,300,450,300,300,400,400,400,0,0,0,0,0,0,0,0
7,150,200,200,200,350,350,350,400,0,0,0,0,0,0,0,0,0
8,140,300,260,280,260,400,400,400,400,0,0,0,0,0,0,0,0
9,250,240,150,400,300,400,400,400,400,500,0,0,0,0,0,0,0
10,300,200,300,250,300,300,450,0,0,0,0,0,0,0,0,0,0
11,260,340,320,240,240,640,260,500,0,0,0,0,0,0,0,0,0
12,200,300,260,240,280,250,300,350,400,0,0,0,0,0,0,0,0
13,200,300,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0
14,400,400,460,320,420,360,400,380,500,500,0,0,0,0,0,0,0
15,250,340,400,400,400,400,500,0,0,0,0,0,0,0,0,0,0
16,250,720,340,546,454,436,400,520,0,0,0,0,0,0,0,0,0
17,300,500,500,500,400,400,400,0,0,0,0,0,0,0,0,0,0
18,400,460,440,500,500,300,300,400,700,0,0,0,0,0,0,0,0
19,600,400,500,500,400,500,400,400,400,650,0,0,0,0,0,0,0
