wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id
0,6,3003,5,3,8,3
0,7,3003,5,3,8,3
0,8,3003,5,3,8,3
0,9,3003,5,3,18,4
0,10,3003,5,3,18,4
0,11,3003,5,3,18,4
0,0,3001,5,4,0,0
0,1,3001,5,4,0,0
0,2,3001,5,4,4,1
0,3,3001,5,4,4,1
0,4,3002,10,3.5,12,2
0,5,3002,10,3.5,12,2
1,0,3001,4,3,8,0
1,1,3001,4,3,8,0
1,2,3001,4,3,0,1
1,3,3001,4,3,0,1
1,4,3001,4,3,4,2
1,5,3001,4,3,4,2
1,6,3004,3,3.5,15,3
1,7,3004,3,4,15,3
1,8,3004,3,5,15,3
1,9,3003,5,2.5,10,4
1,10,3003,5,2.5,10,4
1,11,3003,5,2.5,10,4
1,6,3003,5,2.5,6,3
1,7,3003,5,2.5,6,3
1,8,3003,5,2.5,6,3
1,9,3004,3,5.3,10,4
1,10,3004,3,4.2,10,4
1,11,3004,3,3,10,4
2,6,3004,3,4,10,3
2,7,3004,3,4,10,3
2,8,3004,3,4,10,3
2,9,3004,3,3.5,20,4
2,10,3004,3,3.5,20,4
2,11,3004,3,3.5,20,4
2,6,3002,5,3,10,3
2,7,3002,5,3,10,3
2,8,3002,5,3,10,3
2,9,3002,5,3,16,4
2,10,3002,5,3,16,4
2,11,3002,5,3,16,4
2,0,3001,5,3.2,0,0
2,1,3001,5,3.2,0,0
2,2,3001,5,3.2,5,1
2,3,3001,5,3.2,5,1
2,4,3003,13,3,20,2
2,5,3003,13,3,20,2
3,6,3001,1,0,0,3
3,7,3001,1,0,0,3
3,8,3001,1,0,0,3
3,9,3001,1,0,0,4
3,10,3001,1,0,0,4
3,11,3001,1,0,0,4
3,6,3002,1,0,4,3
3,7,3002,1,0,4,3
3,8,3002,1,0,4,3
3,9,3002,1,0,4,4
3,10,3002,1,0,4,4
3,11,3002,1,0,4,4
3,6,3001,1,0,4,3
3,7,3001,1,0,4,3
3,8,3001,1,0,4,3
3,9,3001,1,0,4,4
3,10,3001,1,0,4,4
3,11,3001,1,0,4,4
3,6,3002,1,0,3.5,3
3,7,3002,1,0,3.5,3
3,8,3002,1,0,3.5,3
3,9,3002,1,0,3.5,4
3,10,3002,1,0,3.5,4
3,11,3002,1,0,3.5,4
3,6,3001,1,0,3.5,3
3,7,3001,1,0,3.5,3
3,8,3001,1,0,3.5,3
3,9,3001,1,0,3.5,4
3,10,3001,1,0,3.5,4
3,11,3001,1,0,3.5,4
3,6,3002,1,0,3,3
3,7,3002,1,0,3,3
3,8,3002,1,0,3,3
3,9,3002,1,0,3,4
3,10,3002,1,0,3,4
3,11,3002,1,0,3,4
3,6,3001,1,0,3,3
3,7,3001,1,0,3,3
3,8,3001,1,0,3,3
3,9,3001,1,0,3,4
3,10,3001,1,0,3,4
3,11,3001,1,0,3,4
3,6,3002,1,0,2.5,3
3,7,3002,1,0,2.5,3
3,8,3002,1,0,2.5,3
3,9,3002,1,0,2.5,4
3,10,3002,1,0,2.5,4
3,11,3002,1,0,2.5,4
3,6,3001,1,0,2.5,3
3,7,3001,1,0,2.5,3
3,8,3001,1,0,2.5,3
3,9,3001,1,0,2.5,4
3,10,3001,1,0,2.5,4
3,11,3001,1,0,2.5,4
3,6,3002,1,0,2.5,3
3,7,3002,1,0,2.5,3
3,8,3002,1,0,2.5,3
3,9,3002,1,0,2.5,4
3,10,3002,1,0,2.5,4
3,11,3002,1,0,2.5,4
3,0,3004,5,4,18,0
3,1,3004,5,4,18,0
3,2,3004,5,4,26,1
3,3,3004,5,4,26,1
3,4,3004,5,4,20,2
3,5,3004,5,4,20,2
4,0,3004,1,0,0,0
4,1,3004,1,0,0,0
4,2,3004,1,0,3,1
4,3,3004,1,0,3,1
4,4,3004,1,0,6,2
4,5,3004,1,0,6,2
4,0,3002,1,0,4,0
4,1,3002,1,0,4,0
4,2,3002,1,0,4,1
4,3,3002,1,0,4,1
4,4,3002,1,0,4,2
4,5,3002,1,0,4,2
4,0,3004,1,0,3.5,0
4,1,3004,1,0,3.5,0
4,2,3004,1,0,3.5,1
4,3,3004,1,0,3.5,1
4,4,3004,1,0,3.5,2
4,5,3004,1,0,3.5,2
4,0,3002,1,0,3.5,0
4,1,3002,1,0,3.5,0
4,2,3002,1,0,3.5,1
4,3,3002,1,0,3.5,1
4,4,3002,1,0,3.5,2
4,5,3002,1,0,3.5,2
4,0,3004,1,0,3,0
4,1,3004,1,0,3,0
4,2,3004,1,0,3,1
4,3,3004,1,0,3,1
4,4,3004,1,0,3,2
4,5,3004,1,0,3,2
4,0,3002,1,0,3,0
4,1,3002,1,0,3,0
4,2,3002,1,0,3,1
4,3,3002,1,0,3,1
4,4,3002,1,0,3,2
4,5,3002,1,0,3,2
4,6,3001,8,3.5,20,3
4,7,3001,8,3.5,20,3
4,8,3001,8,3.5,20,3
4,6,3004,1,0,0.5,3
4,7,3004,1,0,0.5,3
4,8,3004,1,0,0.5,3
4,9,3005,4,4.5,25,4
4,10,3005,4,4.5,25,4
4,11,3005,4,4.5,25,4
4,9,3002,2,2,2,4
4,10,3002,2,2,2,4
4,11,3002,2,2,2,4
5,6,3004,6,2.5,0,3
5,7,3004,6,2.5,0,3
5,8,3004,6,2.5,0,3
5,9,3004,6,3,5,4
5,10,3004,6,3,5,4
5,11,3004,6,3,5,4
5,0,3002,6,3,10,3
5,1,3002,6,3,10,3
5,2,3002,6,3,10,3
5,3,3002,6,3,10,4
5,4,3002,6,3,10,4
5,5,3002,6,3,10,4
5,6,3005,2,4,10,3
5,7,3005,2,4,10,3
5,8,3005,2,4,10,3
5,9,3005,2,4,5,4
5,10,3005,2,4,5,4
5,11,3005,2,4,5,4
5,0,3005,2,0,4,0
5,3,3005,2,0,3,1
5,4,3005,2,0,6,2
6,6,3001,5,4,0,3
6,7,3001,5,4,0,3
6,8,3001,5,4,0,3
6,9,3001,5,4,0,4
