wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id
10,0,3001,1,0,0,0
10,1,3001,1,0,0,0
10,2,3001,1,0,0,0
10,3,3001,1,0,0,1
10,4,3001,1,0,0,1
10,5,3001,1,0,0,1
10,6,3001,1,0,0,2
10,7,3001,1,0,0,2
10,8,3001,1,0,0,2
10,9,3001,1,0,0,3
10,10,3001,1,0,0,3
10,11,3001,1,0,0,3
10,0,3003,1,0,1.5,0
10,1,3003,1,0,1.5,0
10,2,3003,1,0,1.5,0
10,3,3003,1,0,1.5,1
10,4,3003,1,0,1.5,1
10,5,3003,1,0,1.5,1
10,6,3003,1,0,1.5,2
10,7,3003,1,0,1.5,2
10,8,3003,1,0,1.5,2
10,9,3003,1,0,1.5,3
10,10,3003,1,0,1.5,3
10,11,3003,1,0,1.5,3
10,0,3001,1,0,1.5,0
10,1,3001,1,0,1.5,0
10,2,3001,1,0,1.5,0
10,3,3001,1,0,1.5,1
10,4,3001,1,0,1.5,1
10,5,3001,1,0,1.5,1
10,6,3001,1,0,1.5,2
10,7,3001,1,0,1.5,2
10,8,3001,1,0,1.5,2
10,9,3001,1,0,1.5,3
10,10,3001,1,0,1.5,3
10,11,3001,1,0,1.5,3
10,0,3003,1,0,1.5,0
10,1,3003,1,0,1.5,0
10,2,3003,1,0,1.5,0
10,3,3003,1,0,1.5,1
10,4,3003,1,0,1.5,1
10,5,3003,1,0,1.5,1
10,6,3003,1,0,1.5,2
10,7,3003,1,0,1.5,2
10,8,3003,1,0,1.5,2
10,9,3003,1,0,1.5,3
10,10,3003,1,0,1.5,3
10,11,3003,1,0,1.5,3
10,0,3001,1,0,1.5,0
10,1,3001,1,0,1.5,0
10,2,3001,1,0,1.5,0
10,3,3001,1,0,1.5,1
10,4,3001,1,0,1.5,1
10,5,3001,1,0,1.5,1
10,6,3001,1,0,1.5,2
10,7,3001,1,0,1.5,2
10,8,3001,1,0,1.5,2
10,9,3001,1,0,1.5,3
10,10,3001,1,0,1.5,3
10,11,3001,1,0,1.5,3
10,0,3003,1,0,1.5,0
10,1,3003,1,0,1.5,0
10,2,3003,1,0,1.5,0
10,3,3003,1,0,1.5,1
10,4,3003,1,0,1.5,1
10,5,3003,1,0,1.5,1
10,6,3003,1,0,1.5,2
10,7,3003,1,0,1.5,2
10,8,3003,1,0,1.5,2
10,9,3003,1,0,1.5,3
10,10,3003,1,0,1.5,3
10,11,3003,1,0,1.5,3
10,0,3001,1,0,1.5,0
10,1,3001,1,0,1.5,0
10,2,3001,1,0,1.5,0
10,3,3001,1,0,1.5,1
10,4,3001,1,0,1.5,1
10,5,3001,1,0,1.5,1
10,6,3001,1,0,1.5,2
10,7,3001,1,0,1.5,2
10,8,3001,1,0,1.5,2
10,9,3001,1,0,1.5,3
10,10,3001,1,0,1.5,3
10,11,3001,1,0,1.5,3
10,0,3003,1,0,1.5,0
10,1,3003,1,0,1.5,0
10,2,3003,1,0,1.5,0
10,3,3003,1,0,1.5,1
10,4,3003,1,0,1.5,1
10,5,3003,1,0,1.5,1
10,6,3003,1,0,1.5,2
10,7,3003,1,0,1.5,2
10,8,3003,1,0,1.5,2
10,9,3003,1,0,1.5,3
10,10,3003,1,0,1.5,3
10,11,3003,1,0,1.5,3
10,0,3001,1,0,1.5,0
10,1,3001,1,0,1.5,0
10,2,3001,1,0,1.5,0
10,3,3001,1,0,1.5,1
10,4,3001,1,0,1.5,1
10,5,3001,1,0,1.5,1
10,6,3001,1,0,1.5,2
10,7,3001,1,0,1.5,2
10,8,3001,1,0,1.5,2
10,9,3001,1,0,1.5,3
10,10,3001,1,0,1.5,3
10,11,3001,1,0,1.5,3
10,0,3003,1,0,1.5,0
10,1,3003,1,0,1.5,0
10,2,3003,1,0,1.5,0
10,3,3003,1,0,1.5,1
10,4,3003,1,0,1.5,1
10,5,3003,1,0,1.5,1
10,6,3003,1,0,1.5,2
10,7,3003,1,0,1.5,2
10,8,3003,1,0,1.5,2
10,9,3003,1,0,1.5,3
10,10,3003,1,0,1.5,3
10,11,3003,1,0,1.5,3
10,0,3004,4,1.5,0,0
10,1,3004,4,1.5,0,0
10,2,3004,4,1.5,0,0
10,3,3004,4,1.5,0,1
10,4,3004,4,1.5,0,1
10,5,3004,4,1.5,0,1
10,6,3004,4,1.5,0,2
10,7,3004,4,1.5,0,2
10,8,3004,4,1.5,0,2
10,9,3004,4,1.5,0,3
10,10,3004,4,1.5,0,3
10,11,3004,4,1.5,0,3
10,0,3010,1,0,2,0
10,1,3010,1,0,2,0
10,1,3007,1,0,0,0
10,2,3010,1,0,2,0
10,3,3010,1,0,2,1
10,4,3010,1,0,2,1
10,4,3007,1,0,0,1
10,5,3010,1,0,2,1
10,6,3010,1,0,2,2
10,6,3007,1,0,0,2
10,7,3010,1,0,2,2
10,8,3010,1,0,2,2
10,9,3010,1,0,2,3
10,10,3010,1,0,2,3
10,10,3007,1,0,0,3
10,11,3010,1,0,2,3
10,0,3005,2,2,2,0
10,1,3005,2,2,2,0
10,2,3005,2,2,2,0
10,3,3005,2,2,2,1
10,4,3005,2,2,2,1
10,5,3005,2,2,2,1
10,6,3005,2,2,2,2
10,7,3005,2,2,2,2
10,8,3005,2,2,2,2
10,9,3005,2,2,2,3
10,10,3005,2,2,2,3
10,11,3005,2,2,2,3
11,0,3004,4,2,0,0
11,1,3004,4,2,0,0
11,2,3004,4,2,0,0
11,3,3004,4,2,0,1
11,4,3004,4,2,0,1
11,5,3004,4,2,0,1
11,6,3004,4,2,0,2
11,7,3004,4,2,0,2
11,8,3004,4,2,0,2
11,9,3004,4,2,0,3
11,10,3004,4,2,0,3
11,11,3004,4,2,0,3
11,0,3005,2,2,5,0
11,1,3005,2,2,5,0
11,2,3005,2,2,5,0
11,3,3005,2,2,5,1
11,4,3005,2,2,5,1
11,5,3005,2,2,5,1
11,6,3005,3,2,5,2
11,7,3005,3,2,5,2
11,8,3005,3,2,5,2
11,9,3005,3,2,5,3
11,10,3005,3,2,5,3
11,11,3005,3,2,5,3
11,0,3007,1,0,1,0
11,1,3007,1,0,1,0
11,2,3007,1,0,1,0
11,3,3007,1,0,1,1
11,4,3007,1,0,1,1
11,5,3007,1,0,1,1
11,0,3009,2,3,3,0
11,1,3009,2,3,3,0
11,2,3009,2,3,3,0
11,3,3009,2,3,3,1
11,4,3009,2,3,3,1
11,5,3009,2,3,3,1
11,6,3013,2,3,2,2
11,7,3013,2,3,2,2
11,8,3013,2,3,2,2
11,9,3013,2,3,2,3
11,10,3013,2,3,2,3
11,11,3013,2,3,2,3
12,0,3004,5,2,0,0
12,1,3004,5,2,0,0
12,2,3004,5,2,0,0
12,3,3004,5,2,0,1
12,4,3004,5,2,0,1
12,5,3004,5,2,0,1
12,6,3004,5,2,0,2
12,7,3004,5,2,0,2
12,8,3004,5,2,0,2
12,9,3004,5,2,0,3
12,10,3004,5,2,0,3
12,11,3004,5,2,0,3
12,0,3010,5,3,2,0
12,1,3010,5,3,2,0
12,2,3010,5,3,2,0
12,3,3010,5,3,2,1
12,4,3010,5,3,2,1
12,5,3010,5,3,2,1
12,6,3005,5,3,2,2
12,7,3005,5,3,2,2
12,8,3005,5,3,2,2
12,9,3005,5,3,2,3
12,10,3005,5,3,2,3
12,11,3005,5,3,2,3
12,0,3007,1,0,0,0
12,1,3007,1,0,0,0
12,2,3007,1,0,0,0
12,3,3007,1,0,0,1
12,4,3007,1,0,0,1
12,5,3007,1,0,0,1
12,6,3007,1,0,0,2
12,7,3007,1,0,0,2
12,10,3007,1,0,0,3
12,0,3013,3,2.5,0,0
12,1,3013,3,2.5,0,0
12,2,3013,3,2.5,0,0
12,3,3013,3,2.5,0,1
12,4,3013,3,2.5,0,1
12,5,3013,3,2.5,0,1
12,6,3014,3,2.5,0,2
12,7,3014,3,2.5,0,2
12,8,3014,3,2.5,0,2
12,9,3014,3,2.5,0,3
12,10,3014,3,2.5,0,3
12,11,3014,3,2.5,0,3
13,6,3009,1,0,0,2
13,7,3009,1,0,0,2
13,8,3009,1,0,0,2
13,0,3004,5,1.5,0,0
13,1,3004,5,1.5,0,0
13,2,3004,5,1.5,0,0
13,3,3004,5,1.5,0,1
13,4,3004,5,1.5,0,1
13,5,3004,5,1.5,0,1
13,6,3004,5,1.5,0,2
13,7,3004,5,1.5,0,2
13,8,3004,5,1.5,0,2
13,9,3004,5,1.5,0,3
13,10,3004,5,1.5,0,3
13,11,3004,5,1.5,0,3
13,0,3013,2,2.5,2,0
13,1,3013,2,2.5,2,0
13,2,3013,2,2.5,2,0
13,3,3013,2,2.5,2,1
13,4,3013,2,2.5,2,1
13,5,3013,2,2.5,2,1
13,6,3014,2,2.5,2,2
13,7,3014,2,2.5,2,2
13,8,3014,2,2.5,2,2
13,9,3014,2,2.5,2,3
13,10,3014,2,2.5,2,3
13,11,3014,2,2.5,2,3
