wave,line,enemy_id,amount,spacing,delay_spawn,gate_spawn_id
0,0,3001,10,2,6,0
0,1,3001,10,2,6,0
0,2,3001,10,2,6,0
0,5,3002,10,2,0,1
0,6,3002,10,2,0,1
0,7,3002,10,2,0,1
0,12,3003,10,2,12,2
0,13,3003,10,2,12,2
0,14,3003,10,2,12,2
0,8,3004,7,3,10,1
0,9,3004,8,3,16,1
0,10,3004,8,3,16,1
0,11,3004,7,3,10,1
1,5,3001,1,0,0,1
1,6,3001,1,0,0,1
1,7,3001,1,0,0,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,5,3001,1,0,2,1
1,6,3001,1,0,2,1
1,7,3001,1,0,2,1
1,5,3002,1,0,2,1
1,6,3002,1,0,2,1
1,7,3002,1,0,2,1
1,0,3004,10,2.5,8,0
1,1,3004,10,2.5,8,0
1,2,3004,10,2.5,8,0
1,12,3004,10,2.5,14,2
1,13,3004,10,2.5,14,2
1,14,3004,10,2.5,14,2
2,0,3001,10,1.6,0,0
2,1,3001,10,1.6,0,0
