quest_id,level,target_type,quest_type,limit_receive,number_require,victim,stage_unlock,id,type,number,item_type,have_goto
1,0,AnyHero,Summon,1,3,-1,0,0,0,50,-1,1
,1,,,1,4,-1,0,0,0,50,-1,
,2,,,1,5,-1,0,0,0,50,-1,
,3,,,1,6,-1,0,0,0,50,-1,
,4,,,1,7,-1,0,0,0,50,-1,
,5,,,1,8,-1,0,0,0,50,-1,
,6,,,1,9,-1,0,0,0,50,-1,
,7,,,1,10,-1,0,0,0,50,-1,
2,0,AnyHeroUpgradeMax,Upgrade,1,1,-1,0,0,0,50,-1,1
,1,,,1,2,-1,0,0,0,50,-1,
,2,,,1,3,-1,0,0,0,50,-1,
,3,,,1,6,-1,0,0,0,50,-1,
,4,,,1,9,-1,0,0,0,50,-1,
3,0,UseSkillAnyHero,Use,1,20,-1,0,0,0,10,-1,1
,1,,,1,50,-1,0,0,0,20,-1,
,2,,,1,100,-1,0,0,0,30,-1,
,3,,,1,200,-1,0,0,0,50,-1,
,4,,,1,400,-1,0,0,0,100,-1,
5,0,ArcherKill,KillBy,1,500,-1,0,0,0,10,-1,1
,1,,,1,1500,-1,0,0,0,30,-1,
,2,,,1,4000,-1,0,0,0,50,-1,
6,0,GolemKill,KillBy,1,500,-1,0,0,0,10,-1,1
,1,,,1,1500,-1,0,0,0,30,-1,
,2,,,1,4000,-1,0,0,0,50,-1,
7,0,MagicKill,KillBy,1,500,-1,0,0,0,10,-1,1
,1,,,1,1500,-1,0,0,0,30,-1,
,2,,,1,4000,-1,0,0,0,50,-1,
8,0,BarrackKill,KillBy,1,400,-1,0,0,0,10,-1,1
,1,,,1,800,-1,0,0,0,30,-1,
,2,,,1,2000,-1,0,0,0,50,-1,
9,0,KillBoss,Kill,1,1,3018,0,0,0,50,-1,1
10,0,KillBoss,Kill,1,1,3020,0,0,0,50,-1,1
11,0,EarnStar,Earn,1,30,8,0,0,0,15,-1,1
,1,,,1,60,8,0,0,0,30,-1,
,2,,,1,90,8,0,0,0,60,-1,
,3,,,1,120,8,0,0,0,90,-1,
12,0,EarnStar,Earn,1,30,9,0,0,0,15,-1,1
,1,,,1,60,9,0,0,0,30,-1,
,2,,,1,90,9,0,0,0,60,-1,
,3,,,1,120,9,0,0,0,90,-1,
13,0,SpendSliverStar,Spent,1,3,-1,0,0,0,15,-1,1
,1,,,1,6,-1,0,0,0,30,-1,
,2,,,1,12,-1,0,0,0,50,-1,
14,0,SpendGoldStar,Spent,1,3,-1,0,0,0,15,-1,1
,1,,,1,6,-1,0,0,0,30,-1,
,2,,,1,12,-1,0,0,0,50,-1,
21,0,GachaSpell,Gacha,1,10,-1,10,5,0,1,-1,1
,1,,,1,20,-1,10,5,0,2,-1,
,2,,,1,50,-1,10,5,0,3,-1,
,3,,,1,100,-1,10,5,0,4,-1,
,4,,,1,200,-1,10,5,0,5,-1,
23,0,NormalSpell,Earn,1,2,-1,10,0,0,10,-1,1
,1,,,1,4,-1,10,0,0,15,-1,
,2,,,1,6,-1,10,0,0,20,-1,
,3,,,1,8,-1,10,0,0,30,-1,
,4,,,1,10,-1,10,0,0,50,-1,
25,0,SpellLevelMax,Upgrade,1,2,-1,10,0,0,20,-1,1
,1,,,1,5,-1,10,0,0,50,-1,
,2,,,1,10,-1,10,0,0,100,-1,
26,0,UseAnySpell,Use,1,30,-1,10,1,0,10,-1,1
,1,,,1,60,-1,10,1,0,20,-1,
,2,,,1,90,-1,10,1,0,30,-1,
,3,,,1,150,-1,10,1,0,50,-1,
,4,,,1,300,-1,10,1,0,100,-1,
27,0,AnySpellUpgrade,Upgrade,1,9,-1,10,5,0,2,-1,1
,1,,,1,18,-1,10,5,0,2,-1,
,2,,,1,27,-1,10,5,0,3,-1,
,3,,,1,54,-1,10,5,0,3,-1,
,4,,,1,90,-1,10,5,0,5,-1,
28,0,EquipSpell,Count,1,3,-1,10,0,0,10,-1,1
,1,,,1,4,-1,10,0,0,20,-1,
,2,,,1,5,-1,10,0,0,30,-1,
,3,,,1,6,-1,10,0,0,50,-1,
,4,,,1,9,-1,10,0,0,70,-1,
30,0,Gem,Spent,1,500,-1,0,0,0,50,-1,0
,1,,,1,1000,-1,0,0,0,100,-1,
,2,,,1,5000,-1,0,0,0,300,-1,
,3,,,1,10000,-1,0,0,0,500,-1,
,4,,,1,20000,-1,0,0,0,700,-1,
31,0,Crystal,Spent,1,4000,-1,0,1,0,200,-1,0
,1,,,1,8000,-1,0,1,0,400,-1,
,2,,,1,16000,-1,0,1,0,800,-1,
,3,,,1,32000,-1,0,1,0,1000,-1,
,4,,,1,64000,-1,0,1,0,1500,-1,
32,0,JoinFanpage,Count,1,1,-1,0,0,0,50,-1,1
33,0,DailyQuest,Complete,1,15,-1,0,0,0,5,-1,1
,1,,,1,45,-1,0,0,0,5,-1,
,2,,,1,105,-1,0,0,0,10,-1,
,3,,,1,450,-1,0,0,0,15,-1,
34,0,KillAnyEnemy,Kill,1,1000,-1,0,0,0,10,-1,1
,1,,,1,2000,-1,0,0,0,20,-1,
,2,,,1,4000,-1,0,0,0,50,-1,
,3,,,1,6000,-1,0,0,0,80,-1,
,4,,,1,10000,-1,0,0,0,100,-1,
