rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
6,0,1,0.01,0.1,11,13
,,2,0.011,0.11,11,13
,,3,0.0121,0.12,11,13
,,4,0.0133,0.13,11,13
,,5,0.0146,0.15,11,13
,,6,0.0161,0.16,11,13
,,7,0.0177,0.18,11,13
,,8,0.0195,0.19,11,13
,,9,0.0214,0.21,11,13
,,10,0.0236,0.24,11,13
,,11,0.0259,0.26,11,13
,,12,0.0285,0.29,11,13
,,13,0.0314,0.31,11,13
,,14,0.0345,0.35,11,13
,,15,0.038,0.38,11,13
6,1,1,0.02,0.2,11,13
,,2,0.022,0.22,11,13
,,3,0.0242,0.24,11,13
,,4,0.0266,0.27,11,13
,,5,0.0293,0.29,11,13
,,6,0.0322,0.32,11,13
,,7,0.0354,0.35,11,13
,,8,0.039,0.39,11,13
,,9,0.0429,0.43,11,13
,,10,0.0472,0.47,11,13
,,11,0.0519,0.52,11,13
,,12,0.0571,0.57,11,13
,,13,0.0628,0.63,11,13
,,14,0.069,0.69,11,13
,,15,0.0759,0.76,11,13
6,2,1,0.04,0.5,11,13
,,2,0.044,0.55,11,13
,,3,0.0484,0.61,11,13
,,4,0.0532,0.67,11,13
,,5,0.0586,0.73,11,13
,,6,0.0644,0.81,11,13
,,7,0.0709,0.89,11,13
,,8,0.0779,0.97,11,13
,,9,0.0857,1.07,11,13
,,10,0.0943,1.18,11,13
,,11,0.1037,1.3,11,13
,,12,0.1141,1.43,11,13
,,13,0.1255,1.57,11,13
,,14,0.1381,1.73,11,13
,,15,0.1519,1.9,11,13
6,3,1,0.08,0.8,11,13
,,2,0.088,0.88,11,13
,,3,0.0968,0.97,11,13
,,4,0.1065,1.06,11,13
,,5,0.1171,1.17,11,13
,,6,0.1288,1.29,11,13
,,7,0.1417,1.42,11,13
,,8,0.1559,1.56,11,13
,,9,0.1715,1.71,11,13
,,10,0.1886,1.89,11,13
,,11,0.2075,2.07,11,13
,,12,0.2282,2.28,11,13
,,13,0.2511,2.51,11,13
,,14,0.2762,2.76,11,13
,,15,0.3038,3.04,11,13
6,4,1,0.12,1.2,11,13
,,2,0.132,1.32,11,13
,,3,0.1452,1.45,11,13
,,4,0.1597,1.6,11,13
,,5,0.1757,1.76,11,13
,,6,0.1933,1.93,11,13
,,7,0.2126,2.13,11,13
,,8,0.2338,2.34,11,13
,,9,0.2572,2.57,11,13
,,10,0.283,2.83,11,13
,,11,0.3112,3.11,11,13
,,12,0.3424,3.42,11,13
,,13,0.3766,3.77,11,13
,,14,0.4143,4.14,11,13
,,15,0.4557,4.56,11,13
