product_id,price,price_previous,consumable,vip_point,img_id,money_type,sale_type,item_type,type,id,number,value_previous,map_unlock,day_open_game
com.empire.warriors2.epic.tower.td.defender.rush_rune_package_9.99,4.99,9.99,0,0,-1,-1,-1,1,2,2,1,0,8,3
,,,,,,,,1,2,402,1,,,
,,,,,,,,1,2,302,1,,,
,,,,,,,,1,2,2,1,,,
,,,,,,,,1,2,402,1,,,
,,,,,,,,1,2,302,1,,,
com.empire.warriors2.epic.tower.td.defender.rush_rune_package_29.99,9.99,29.99,0,0,-1,-1,-1,1,2,3,1,0,0,0
,,,,,,,,1,2,403,1,,,
,,,,,,,,1,2,303,1,,,
,,,,,,,,1,2,3,1,,,
,,,,,,,,1,2,403,1,,,
,,,,,,,,1,2,303,1,,,
com.empire.warriors2.epic.tower.td.defender.rush_rune_package_49.99,19.99,49.99,0,0,-1,-1,-1,1,2,4,1,0,0,0
,,,,,,,,1,2,404,1,,,
,,,,,,,,1,2,304,1,,,
,,,,,,,,1,2,4,1,,,
,,,,,,,,1,2,404,1,,,
,,,,,,,,1,2,304,1,,,
