damage,damage_type,hp,move_speed,attack_speed,armor,resistance,crit_chance,crit_damage,block_enemy,search_target,detect_melee_attack,detect_block
65,0,800,1.3,0.6,60,50,0,0,6,0,0.6,1
70,0,815,1.3,0.6,68,58,0,0,6,0,0.6,1
75,0,830,1.3,0.6,76,66,0,0,6,0,0.6,1
80,0,845,1.3,0.6,84,74,0,0,6,0,0.6,1
85,0,860,1.3,0.6,92,82,0,0,6,0,0.6,1
90,0,875,1.3,0.6,100,90,0,0,6,0,0.6,1
95,0,890,1.3,0.6,108,98,0,0,6,0,0.6,1
100,0,905,1.3,0.6,116,106,0,0,6,0,0.6,1
105,0,920,1.3,0.6,124,114,0,0,6,0,0.6,1
110,0,935,1.3,0.6,132,122,0,0,6,0,0.6,1
